"Date","expGermany","expFrance","expItaly","expNetherlands","expUnitedKingdom","expRestoftheworld"
"103",2011-11-01,103.1,78.5,108.7,108.9,84.9,137
"104",2011-12-01,84,81.7,89.1,93.2,81.3,120
"106",2012-01-01,87.5,77.6,107.3,93.1,79,115
"107",2012-02-01,95.9,84.1,112,87,86.4,128
"108",2012-03-01,92.6,89.5,94.9,96.2,90.1,125
"109",2012-04-01,97.2,82.8,103.8,94.9,90.3,130
"110",2012-05-01,97.8,87.4,101.4,94.1,89.4,146
"111",2012-06-01,99.4,86.6,111,88.4,94.4,135
"112",2012-07-01,96.9,71.4,105.1,73.9,96.8,122
"113",2012-08-01,95.2,67.2,107.4,84.5,93.5,125
"114",2012-09-01,103.8,70.9,103.7,99.7,104.3,136
"115",2012-10-01,104.2,76.8,93.4,98,91.3,142
"116",2012-11-01,107.8,84.2,100.6,104.6,99.6,142
"117",2012-12-01,89.7,97.6,78.5,86.8,82.8,114
"119",2013-01-01,99.4,92,90,96.7,87,126
"120",2013-02-01,101.3,107.9,102.1,101.7,94.3,129
"121",2013-03-01,95.2,106.2,102.4,96.9,89.8,131
"122",2013-04-01,104.2,91.4,103.2,98.6,92.4,134
"123",2013-05-01,99.8,86.7,96,97.8,90.7,143
"124",2013-06-01,101.6,80,110.9,88.8,94.6,133
"125",2013-07-01,96.1,76,99.3,75.3,99,125
"126",2013-08-01,98,73.6,107.5,87.9,95.4,126
"127",2013-09-01,101.6,82.5,111.4,94,101.9,141
"128",2013-10-01,114.6,87.8,99.2,101.1,101.1,147
"129",2013-11-01,111.1,89.6,106.5,114.2,107.4,140
"130",2013-12-01,99.7,83.7,87.1,99.5,84.4,123
"132",2014-01-01,100.4,80.7,90.6,88.6,83.1,125
"133",2014-02-01,99.1,90.8,92.1,93.2,90.8,135
"134",2014-03-01,117,105.6,114.8,115.3,95.2,143
"135",2014-04-01,98.8,89.4,107.1,107.9,91.6,129
"136",2014-05-01,97.7,81.2,116,92.8,90,145
"137",2014-06-01,99.5,85,108.7,87.7,99.8,133
